ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
that academic,4,4.400,88.0
regard and,2,4.300,86.0
mood indigo,152,4.647,92.9
recruiting mncs,2,4.300,86.0
at par,31,4.563,91.3
more project,4,4.350,87.0
what students,6,4.367,87.3
consulting and,107,4.483,89.7
opportunities to,120,4.615,92.3
get many,18,4.614,92.3
the average,1121,4.549,91.0
spot compared,2,4.300,86.0
in electrical,385,4.571,91.4
is at,54,4.589,91.8
happening on,5,4.160,83.2
and signal,22,4.445,88.9
it is,1250,4.544,90.9
integrated b,174,4.520,90.4
work other,12,4.317,86.3
to work,152,4.582,91.6
course based,5,4.280,85.6
regards infrastructure,2,4.300,86.0
at my,43,4.349,87.0
to lpa,147,4.591,91.8
from all,110,4.568,91.4
during campus,7,4.629,92.6
top recruiting,590,4.522,90.4
expect from,13,4.308,86.2
data scientist,98,4.507,90.1
based on,220,4.468,89.4
library where,26,4.506,90.1
chosen this,82,4.570,91.4
for money,2074,4.543,90.9
have chosen,96,4.593,91.9
curriculum becomes,2,4.300,86.0
year you,30,4.498,90.0
dearth of,2,4.300,86.0
the college,875,4.511,90.2
the top,663,4.549,91.0
compared to,347,4.539,90.8
a good,573,4.544,90.9
other i,698,4.528,90.6
was a,168,4.504,90.1
techfest reviewed,3,4.000,80.0
the same,213,4.543,90.9
professors in,67,4.633,92.7
all the,1061,4.554,91.1
existing hostel,2,4.300,86.0
advanced rank,19,4.316,86.3
prepared for,33,4.430,88.6
civil engineering,442,4.571,91.4
got internship,136,4.610,92.2
academic infrastructure,18,4.428,88.6
any student,29,4.508,90.2
from a,82,4.534,90.7
varied domains,2,4.300,86.0
and curriculum,35,4.614,92.3
money great,83,4.538,90.8
get all,44,4.765,95.3
from my,131,4.498,90.0
is fully,81,4.610,92.2
as if,6,4.367,87.3
infrastructure classroom,3,4.333,86.7
has a,653,4.566,91.3
engineering from,14,4.700,94.0
totally depends,9,4.333,86.7
as a,169,4.513,90.3
infrastructure including,8,4.369,87.4
or for,11,4.309,86.2
department got,11,4.582,91.6
their subjects,53,4.456,89.1
for that,47,4.402,88.0
including classrooms,8,4.625,92.5
for the,852,4.539,90.8
a bit,215,4.523,90.5
a data,19,4.474,89.5
icici bank,43,4.595,91.9
tv room,57,4.532,90.6
the campus,1100,4.569,91.4
degree in,28,4.650,93.0
the schools,2,4.300,86.0
of students,1152,4.538,90.8
mostly it,7,4.400,88.0
should be,122,4.452,89.0
the lectures,58,4.415,88.3
extra year,4,4.450,89.0
passing percentage,81,4.567,91.3
of any,44,4.497,89.9
tech in,1693,4.553,91.1
mentally prepared,2,4.300,86.0
the professor,121,4.501,90.0
it may,25,4.440,88.8
are some,110,4.499,90.0
the food,591,4.521,90.4
enough work,2,4.300,86.0
get an,92,4.571,91.4
those things,4,4.600,92.0
if people,2,4.300,86.0
and icici,5,4.570,91.4
companies for,139,4.560,91.2
helpful too,7,4.343,86.9
due to,198,4.501,90.0
placements are,417,4.561,91.2
outstanding and,9,4.411,88.2
so no,11,4.564,91.3
of a,190,4.556,91.1
food and,88,4.512,90.2
is moderate,27,4.578,91.6
should least,2,4.300,86.0
is a,1125,4.550,91.0
are available,653,4.562,91.2
services are,15,4.493,89.9
oriented and,29,4.559,91.2
for higher,239,4.569,91.4
internships and,163,4.544,90.9
ee is,10,4.540,90.8
college of,61,4.599,92.0
books are,56,4.575,91.5
qualified in,45,4.526,90.5
is something,19,4.447,88.9
the ee,8,4.525,90.5
value for,2074,4.543,90.9
like the,103,4.532,90.6
classroom is,31,4.616,92.3
pen and,3,4.533,90.7
it s,382,4.580,91.6
get to,111,4.549,91.0
ee as,2,4.300,86.0
and fest,17,4.588,91.8
placement at,24,4.292,85.8
is good,779,4.565,91.3
residential buildings,4,4.300,86.0
no dearth,2,4.300,86.0
like gym,9,4.444,88.9
and finance,65,4.561,91.2
time to,131,4.579,91.6
if they,84,4.561,91.2
difficulty level,55,4.492,89.8
godrej and,5,4.680,93.6
labs and,325,4.592,91.8
library is,452,4.538,90.8
engineering is,86,4.570,91.4
students to,305,4.547,90.9
on my,25,4.304,86.1
approach them,25,4.448,89.0
from iit,93,4.615,92.3
cse consulting,2,4.300,86.0
money four,3,4.667,93.3
while new,2,4.300,86.0
you can,563,4.527,90.5
many events,95,4.556,91.1
be mentally,2,4.300,86.0
jee advanced,97,4.456,89.1
my department,117,4.437,88.7
campus life,2067,4.543,90.9
me to,38,4.411,88.2
good college,130,4.486,89.7
students should,22,4.355,87.1
domains placements,2,4.300,86.0
crowd amp,2066,4.543,90.9
students from,244,4.549,91.0
related to,189,4.615,92.3
to spend,17,4.565,91.3
after rd,8,4.625,92.5
and the,1513,4.541,90.8
infrastructure is,362,4.576,91.5
becomes more,2,4.300,86.0
least worry,2,4.300,86.0
the highest,1446,4.539,90.8
on the,670,4.543,90.9
on oct,251,4.517,90.3
branch with,10,4.340,86.8
classrooms labs,39,4.662,93.2
students get,536,4.536,90.7
a degree,15,4.333,86.7
you get,225,4.542,90.8
ac the,18,4.489,89.8
role offered,65,4.502,90.0
