ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
read more s shlok nemani,2,4.300,86.0
placed the highest package offered,19,4.526,90.5
a library is at par,2,4.300,86.0
feel like the same pattern,2,4.300,86.0
like the same pattern but,2,4.300,86.0
for money great campus life,4,4.250,85.0
industry ready if they put,2,4.300,86.0
should expect from a good,2,4.300,86.0
sure of students get placements,2,4.300,86.0
students should expect from a,2,4.300,86.0
take integrated year course they,2,4.300,86.0
the ee branch with opportunities,2,4.300,86.0
you get all the top,2,4.300,86.0
feel ee is at a,2,4.300,86.0
fully equipped with wi fi,5,4.440,88.8
the students so no dearth,2,4.300,86.0
interviews i feel ee is,2,4.300,86.0
rd year you get many,2,4.300,86.0
they do get an extra,2,4.300,86.0
nemani integrated b tech in,2,4.300,86.0
be much better due to,2,4.300,86.0
life value for money great,83,4.538,90.8
campus life value for money,2067,4.543,90.9
and finance being thrown open,2,4.300,86.0
for sure of students get,2,4.300,86.0
campus life and you get,2,4.300,86.0
year course they do get,2,4.300,86.0
so it may feel like,2,4.300,86.0
from a good college faculty,2,4.300,86.0
student should least worry about,2,4.300,86.0
college faculty it may feel,2,4.300,86.0
and a library is at,2,4.300,86.0
the college has a central,3,3.867,77.3
to be more research oriented,4,4.150,83.0
signal processing batch of placements,22,4.445,88.9
since it s mostly the,2,4.300,86.0
so no dearth of opportunities,2,4.300,86.0
spend on the campus if,2,4.300,86.0
placements and internships and any,2,4.300,86.0
from my department got placed,3,4.667,93.3
like teaching is done in,2,4.300,86.0
more project based course is,2,4.300,86.0
buildings are coming up the,2,4.300,86.0
life and you get to,2,4.300,86.0
and internships and any student,2,4.300,86.0
and paper so it may,2,4.300,86.0
coming up the existing hostel,2,4.300,86.0
feel like teaching is done,2,4.300,86.0
same pattern but after rd,2,4.300,86.0
bit old so there are,2,4.300,86.0
it may feel like teaching,2,4.300,86.0
many opportunities to be more,2,4.300,86.0
as well as if people,2,4.300,86.0
top recruiting mncs here for,2,4.300,86.0
at a bit of a,2,4.300,86.0
done in the same way,2,4.300,86.0
course they do get an,2,4.300,86.0
including core development cse consulting,2,4.300,86.0
here for the interviews i,2,4.300,86.0
get an extra year to,2,4.300,86.0
get placements and internships and,2,4.300,86.0
at par with what students,2,4.300,86.0
much better due to higher,2,4.300,86.0
mentally prepared for that academic,2,4.300,86.0
finance being thrown open to,2,4.300,86.0
par with what students should,2,4.300,86.0
a bit old so there,2,4.300,86.0
that academic infrastructure including classrooms,2,4.300,86.0
me to take this course,3,4.600,92.0
is at par with what,2,4.300,86.0
varied domains placements placements are,2,4.300,86.0
engineering m tech in communication,22,4.445,88.9
other ee as a department,2,4.300,86.0
year to spend on the,2,4.300,86.0
faculty crowd amp campus life,2066,4.543,90.9
schools since it s mostly,2,4.300,86.0
placements are really good in,2,4.300,86.0
issues in that regard and,2,4.300,86.0
faculty it may feel like,2,4.300,86.0
cse in many regards infrastructure,2,4.300,86.0
to work with top professors,2,4.300,86.0
we go through the schools,2,4.300,86.0
many regards infrastructure while new,2,4.300,86.0
compared to cse in many,2,4.300,86.0
library is at par with,2,4.300,86.0
s mostly the lectures and,2,4.300,86.0
new residential buildings are coming,2,4.300,86.0
money great campus life and,2,4.300,86.0
life value for money four,3,4.667,93.3
do get an extra year,2,4.300,86.0
ready if they put in,2,4.300,86.0
you get many opportunities to,2,4.300,86.0
hostel infrastructure is a bit,2,4.300,86.0
worry about those things you,2,4.300,86.0
electrical engineering m tech in,34,4.494,89.9
jee advanced rank i got,3,4.000,80.0
year you get many opportunities,2,4.300,86.0
to cse in many regards,2,4.300,86.0
about those things you get,2,4.300,86.0
be mentally prepared for that,2,4.300,86.0
is good time to time,3,4.133,82.7
including classrooms labs and a,2,4.300,86.0
get many opportunities to be,2,4.300,86.0
good college faculty it may,2,4.300,86.0
on oct read more s,51,4.339,86.8
and students should be mentally,2,4.300,86.0
may feel like teaching is,2,4.300,86.0
some issues in that regard,2,4.300,86.0
of placements infrastructure faculty crowd,1909,4.546,90.9
oct read more s shlok,2,4.300,86.0
prepared for that academic infrastructure,2,4.300,86.0
a good college faculty it,2,4.300,86.0
it may feel like the,2,4.300,86.0
to spend on the campus,2,4.300,86.0
the interviews i feel ee,2,4.300,86.0
a sweet spot compared to,2,4.300,86.0
while new residential buildings are,2,4.300,86.0
people take integrated year course,2,4.300,86.0
amp campus life value for,2066,4.543,90.9
in enough work other ee,2,4.300,86.0
lectures and then you go,2,4.300,86.0
the domains including core development,2,4.300,86.0
are coming up the existing,2,4.300,86.0
research oriented and curriculum becomes,2,4.300,86.0
should be mentally prepared for,2,4.300,86.0
reviewed on oct read more,251,4.517,90.3
students should be mentally prepared,2,4.300,86.0
classrooms labs and a library,2,4.300,86.0
enough work other ee as,2,4.300,86.0
those things you get all,2,4.300,86.0
students get placements and internships,4,4.550,91.0
dearth of opportunities for sure,2,4.300,86.0
opportunities for sure of students,2,4.300,86.0
all the top recruiting mncs,2,4.300,86.0
should least worry about those,2,4.300,86.0
may feel like the same,2,4.300,86.0
of opportunities for sure of,2,4.300,86.0
be industry ready if they,2,4.300,86.0
be more research oriented and,2,4.300,86.0
residential buildings are coming up,2,4.300,86.0
extra year to spend on,2,4.300,86.0
branch with opportunities from all,2,4.300,86.0
that regard and students should,2,4.300,86.0
equipped with wi fi and,11,4.418,88.4
shlok nemani integrated b tech,2,4.300,86.0
there are some issues in,2,4.300,86.0
communication and signal processing batch,22,4.445,88.9
regard and students should be,2,4.300,86.0
i have chosen this course,72,4.621,92.4
value for money great campus,6,4.167,83.3
after rd year you get,2,4.300,86.0
paper so it may feel,2,4.300,86.0
for students to be industry,2,4.300,86.0
development cse consulting and finance,2,4.300,86.0
well as if people take,2,4.300,86.0
due to higher batch strength,2,4.300,86.0
becomes more project based course,2,4.300,86.0
ee branch with opportunities from,2,4.300,86.0
for that academic infrastructure including,2,4.300,86.0
infrastructure while new residential buildings,2,4.300,86.0
as if people take integrated,2,4.300,86.0
existing hostel infrastructure is a,2,4.300,86.0
are really good in the,2,4.300,86.0
placements placements are really good,8,4.675,93.5
faculty faculty members are quite,3,4.000,80.0
no dearth of opportunities for,2,4.300,86.0
m tech in communication and,22,4.445,88.9
qualified in their subjects they,3,4.600,92.0
to the students so no,2,4.300,86.0
with top professors in varied,2,4.300,86.0
is enough for students to,2,4.300,86.0
top role offered was a,3,4.333,86.7
integrated b tech in electrical,30,4.493,89.9
all the domains including core,2,4.300,86.0
is in the range of,5,4.440,88.8
of a sweet spot compared,2,4.300,86.0
on the campus if they,2,4.300,86.0
as a department will be,2,4.300,86.0
and any student should least,2,4.300,86.0
regards infrastructure while new residential,2,4.300,86.0
academic infrastructure including classrooms labs,2,4.300,86.0
the highest package offered is,39,4.569,91.4
so there are some issues,2,4.300,86.0
other i have chosen this,69,4.584,91.7
really good in the ee,2,4.300,86.0
course based on my jee,3,4.133,82.7
department will be much better,2,4.300,86.0
in varied domains placements placements,2,4.300,86.0
but after rd year you,2,4.300,86.0
ee as a department will,2,4.300,86.0
offered is lpa and the,84,4.571,91.4
the lectures and then you,2,4.300,86.0
consulting and finance being thrown,2,4.300,86.0
college has a central library,5,4.120,82.4
project based course is enough,2,4.300,86.0
the campus if they like,2,4.300,86.0
with what students should expect,2,4.300,86.0
the existing hostel infrastructure is,2,4.300,86.0
for the interviews i feel,2,4.300,86.0
package offered is lpa and,86,4.555,91.1
way as we go through,2,4.300,86.0
things you get all the,2,4.300,86.0
placements infrastructure faculty crowd amp,2066,4.543,90.9
students to be industry ready,4,4.400,88.0
go through the exams pen,2,4.300,86.0
teaching is done in the,2,4.300,86.0
in electrical engineering m tech,34,4.494,89.9
totally depends on the professor,3,3.467,69.3
and you get to work,2,4.300,86.0
is lpa and the average,63,4.507,90.1
sweet spot compared to cse,2,4.300,86.0
good in the ee branch,2,4.300,86.0
go through the schools since,2,4.300,86.0
infrastructure including classrooms labs and,2,4.300,86.0
old so there are some,2,4.300,86.0
better due to higher batch,2,4.300,86.0
highest package offered is lpa,11,4.473,89.5
what students should expect from,2,4.300,86.0
opportunities from all the domains,2,4.300,86.0
and signal processing batch of,22,4.445,88.9
batch strength as well as,2,4.300,86.0
ee is at a bit,2,4.300,86.0
in communication and signal processing,22,4.445,88.9
integrated year course they do,2,4.300,86.0
this course based on my,3,4.133,82.7
professors in varied domains placements,2,4.300,86.0
in the same way as,2,4.300,86.0
from all the domains including,2,4.300,86.0
the same pattern but after,2,4.300,86.0
b tech in electrical engineering,336,4.576,91.5
through the exams pen and,2,4.300,86.0
got placed the highest package,51,4.455,89.1
processing batch of placements infrastructure,22,4.445,88.9
it s mostly the lectures,2,4.300,86.0
is done in the same,2,4.300,86.0
s shlok nemani integrated b,2,4.300,86.0
expect from a good college,2,4.300,86.0
get to work with top,2,4.300,86.0
put in enough work other,2,4.300,86.0
pen and paper so it,2,4.300,86.0
a bit of a sweet,2,4.300,86.0
lpa and the average ctc,5,4.450,89.0
course is enough for students,2,4.300,86.0
core development cse consulting and,2,4.300,86.0
in that regard and students,2,4.300,86.0
labs and a library is,2,4.300,86.0
curriculum becomes more project based,2,4.300,86.0
tech in electrical engineering m,34,4.494,89.9
least worry about those things,2,4.300,86.0
and curriculum becomes more project,2,4.300,86.0
in their subjects they are,3,4.067,81.3
cse consulting and finance being,2,4.300,86.0
to be industry ready if,2,4.300,86.0
if they put in enough,2,4.300,86.0
work with top professors in,2,4.300,86.0
mostly the lectures and then,2,4.300,86.0
the top recruiting mncs here,2,4.300,86.0
any student should least worry,2,4.300,86.0
thrown open to the students,2,4.300,86.0
depends on the professor mostly,3,3.467,69.3
they put in enough work,2,4.300,86.0
being thrown open to the,2,4.300,86.0
same way as we go,2,4.300,86.0
as we go through the,2,4.300,86.0
will be much better due,2,4.300,86.0
infrastructure faculty crowd amp campus,2066,4.543,90.9
the schools since it s,2,4.300,86.0
crowd amp campus life value,2066,4.543,90.9
based course is enough for,2,4.300,86.0
work other ee as a,2,4.300,86.0
open to the students so,2,4.300,86.0
domains including core development cse,2,4.300,86.0
spot compared to cse in,2,4.300,86.0
is a bit old so,4,4.050,81.0
is at a bit of,2,4.300,86.0
up the existing hostel infrastructure,2,4.300,86.0
you get to work with,2,4.300,86.0
mncs here for the interviews,2,4.300,86.0
more s shlok nemani integrated,2,4.300,86.0
then you go through the,2,4.300,86.0
a department will be much,2,4.300,86.0
students so no dearth of,2,4.300,86.0
if people take integrated year,2,4.300,86.0
the same way as we,2,4.300,86.0
bit of a sweet spot,2,4.300,86.0
enough for students to be,2,4.300,86.0
higher batch strength as well,2,4.300,86.0
domains placements placements are really,2,4.300,86.0
in the ee branch with,2,4.300,86.0
the exams pen and paper,2,4.300,86.0
opportunities to be more research,2,4.300,86.0
batch of placements infrastructure faculty,1909,4.546,90.9
infrastructure is a bit old,2,4.300,86.0
more research oriented and curriculum,2,4.300,86.0
recruiting mncs here for the,2,4.300,86.0
college faculty faculty members are,5,4.560,91.2
and then you go through,2,4.300,86.0
exams pen and paper so,2,4.300,86.0
i feel ee is at,2,4.300,86.0
pattern but after rd year,2,4.300,86.0
is fully equipped with wi,5,4.440,88.8
get all the top recruiting,2,4.300,86.0
like mood indigo and techfest,9,4.733,94.7
internships and any student should,2,4.300,86.0
in many regards infrastructure while,2,4.300,86.0
through the schools since it,2,4.300,86.0
strength as well as if,2,4.300,86.0
tech in communication and signal,22,4.445,88.9
top professors in varied domains,2,4.300,86.0
you go through the exams,2,4.300,86.0
of students get placements and,2,4.300,86.0
great campus life and you,4,4.300,86.0
an extra year to spend,2,4.300,86.0
with opportunities from all the,2,4.300,86.0
are some issues in that,2,4.300,86.0
oriented and curriculum becomes more,2,4.300,86.0
to higher batch strength as,2,4.300,86.0
of students got placed for,4,4.700,94.0
and recreational facilities faculty teachers,4,4.700,94.0
bombay placements faculty members and,4,4.700,94.0
highly qualified experienced and easily,4,4.700,94.0
with x internet clean rooms,4,4.700,94.0
campus life placements i did,4,4.700,94.0
knowledge the pass rate is,4,4.700,94.0
m tech in cse from,4,4.700,94.0
f fazil ashraf m tech,4,4.700,94.0
at microsoft qualcomm adobe and,4,4.700,94.0
got placed for internships at,4,4.700,94.0
easily accessible the campus boasted,4,4.700,94.0
placements faculty members and campus,4,4.700,94.0
iit bombay in of candidates,4,4.700,94.0
high at with excellent academic,4,4.700,94.0
core and emerging topics like,4,4.700,94.0
is of excellent quality with,4,4.700,94.0
aug read more people found,56,4.609,92.2
read more people found this,573,4.594,91.9
x internet clean rooms and,4,4.700,94.0
in of candidates got placed,4,4.700,94.0
theoretical stress the course is,4,4.700,94.0
r amp d overall placement,4,4.700,94.0
my m tech in cse,4,4.700,94.0
grounds gym and recreational facilities,4,4.700,94.0
placements i did my m,4,4.700,94.0
class facilities with x wi,4,4.700,94.0
world class sports grounds gym,4,4.700,94.0
food is hygienic and good,4,4.700,94.0
with two canteen options medical,4,4.700,94.0
canteen options medical facilities are,4,4.700,94.0
class library hostels are hygienic,4,4.700,94.0
hostels are hygienic with x,4,4.700,94.0
challenging requiring in depth knowledge,4,4.700,94.0
engineering batch of placements infrastructure,1539,4.556,91.1
very high at with excellent,4,4.700,94.0
world class library hostels are,4,4.700,94.0
semester exams are moderately challenging,4,4.700,94.0
companies that come for recruitment,6,4.600,92.0
to a world class library,4,4.700,94.0
more people found this helpful,573,4.594,91.9
facilities are easily accessible the,4,4.700,94.0
facilities with x wi fi,4,4.700,94.0
exams are moderately challenging requiring,4,4.700,94.0
experienced and easily accessible the,4,4.700,94.0
are google microsoft amazon and,4,4.700,94.0
adobe and samsung r amp,4,4.700,94.0
approximately of students got placed,12,4.567,91.3
placed the highest package is,43,4.507,90.1
are moderately challenging requiring in,4,4.700,94.0
in computer science and engineering,386,4.571,91.4
package is lpa average is,4,4.700,94.0
students got placed for internships,4,4.700,94.0
accessible the teaching is of,4,4.700,94.0
from iit bombay in of,4,4.700,94.0
and access to a world,4,4.700,94.0
based with a focus on,4,4.700,94.0
is lpa top companies that,4,4.700,94.0
focus on core and emerging,4,4.700,94.0
i did my m tech,6,4.733,94.7
boasted world class sports grounds,4,4.700,94.0
money m tech experience at,4,4.700,94.0
fi world class labs smart,4,4.700,94.0
excellent quality with good practical,4,4.700,94.0
m tech in computer science,37,4.589,91.8
cse department boasted world class,4,4.700,94.0
found this helpful f fazil,2,4.800,96.0
very good infrastructure cse department,4,4.700,94.0
with x wi fi world,4,4.700,94.0
for internships at microsoft qualcomm,4,4.700,94.0
well as theoretical stress the,4,4.700,94.0
and good with two canteen,4,4.700,94.0
like ai ml and systems,4,4.700,94.0
and samsung r amp d,4,4.700,94.0
good with two canteen options,4,4.700,94.0
access to a world class,4,4.700,94.0
helpful f fazil ashraf m,2,4.800,96.0
excellent academic guidance from teachers,4,4.700,94.0
the pass rate is very,6,4.667,93.3
nvidia approximately of students got,4,4.700,94.0
hygienic and good with two,4,4.700,94.0
medical facilities are easily accessible,4,4.700,94.0
tech in computer science and,385,4.572,91.4
amp d overall placement support,4,4.700,94.0
lpa average is lpa and,6,4.600,92.0
come for recruitment are google,4,4.700,94.0
members and campus life placements,4,4.700,94.0
faculty teachers are highly qualified,76,4.538,90.8
life placements i did my,4,4.700,94.0
reviewed on aug read more,180,4.534,90.7
and nvidia approximately of students,4,4.700,94.0
and campus life placements i,5,4.760,95.2
at with excellent academic guidance,4,4.700,94.0
class labs smart classrooms and,4,4.700,94.0
lowest is lpa top companies,4,4.700,94.0
of candidates got placed the,4,4.700,94.0
and easily accessible the teaching,4,4.700,94.0
tech in cse from iit,4,4.700,94.0
clean rooms and housekeeping mess,4,4.700,94.0
amazon and nvidia approximately of,4,4.700,94.0
gym and recreational facilities faculty,4,4.700,94.0
overall placement support is very,4,4.700,94.0
microsoft qualcomm adobe and samsung,4,4.700,94.0
easily accessible the teaching is,4,4.700,94.0
faculty members and campus life,4,4.700,94.0
did my m tech in,6,4.733,94.7
for recruitment are google microsoft,4,4.700,94.0
in depth knowledge the pass,4,4.700,94.0
google microsoft amazon and nvidia,4,4.700,94.0
two canteen options medical facilities,4,4.700,94.0
is practically based with a,4,4.700,94.0
course is practically based with,4,4.700,94.0
the lowest is lpa top,10,4.640,92.8
campus boasted world class sports,4,4.700,94.0
quality with good practical as,4,4.700,94.0
at iit bombay placements faculty,4,4.700,94.0
value for money m tech,6,4.533,90.7
is hygienic and good with,4,4.700,94.0
recreational facilities faculty teachers are,4,4.700,94.0
accessible the campus boasted world,4,4.700,94.0
infrastructure cse department boasted world,4,4.700,94.0
good practical as well as,4,4.700,94.0
cse from iit bombay in,4,4.700,94.0
is very good infrastructure cse,4,4.700,94.0
wi fi world class labs,4,4.700,94.0
and the lowest is lpa,34,4.656,93.1
practically based with a focus,4,4.700,94.0
qualified experienced and easily accessible,4,4.700,94.0
ashraf m tech in computer,4,4.700,94.0
good infrastructure cse department boasted,4,4.700,94.0
hygienic with x internet clean,4,4.700,94.0
labs smart classrooms and access,4,4.700,94.0
is very high at with,4,4.700,94.0
mess food is hygienic and,6,4.733,94.7
pass rate is very high,6,4.667,93.3
class sports grounds gym and,4,4.700,94.0
placed for internships at microsoft,4,4.700,94.0
ai ml and systems semester,4,4.700,94.0
placement support is very good,4,4.700,94.0
the highest package is lpa,64,4.463,89.3
qualcomm adobe and samsung r,4,4.700,94.0
lpa top companies that come,4,4.700,94.0
this helpful f fazil ashraf,2,4.800,96.0
highest package is lpa average,4,4.700,94.0
boasted world class facilities with,4,4.700,94.0
recruitment are google microsoft amazon,4,4.700,94.0
moderately challenging requiring in depth,4,4.700,94.0
on aug read more people,56,4.609,92.2
m tech experience at iit,4,4.700,94.0
iit bombay placements faculty members,4,4.700,94.0
department boasted world class facilities,4,4.700,94.0
life value for money m,8,4.500,90.0
the course is practically based,4,4.700,94.0
computer science and engineering batch,386,4.571,91.4
systems semester exams are moderately,4,4.700,94.0
average is lpa and the,6,4.800,96.0
housekeeping mess food is hygienic,4,4.700,94.0
teaching is of excellent quality,4,4.700,94.0
is lpa and the lowest,99,4.507,90.1
fazil ashraf m tech in,4,4.700,94.0
d overall placement support is,4,4.700,94.0
on core and emerging topics,4,4.700,94.0
the campus boasted world class,4,4.700,94.0
samsung r amp d overall,4,4.700,94.0
classrooms and access to a,5,4.680,93.6
rooms and housekeeping mess food,4,4.700,94.0
depth knowledge the pass rate,4,4.700,94.0
options medical facilities are easily,4,4.700,94.0
support is very good infrastructure,4,4.700,94.0
emerging topics like ai ml,4,4.700,94.0
with a focus on core,4,4.700,94.0
library hostels are hygienic with,4,4.700,94.0
are hygienic with x internet,4,4.700,94.0
are easily accessible the campus,4,4.700,94.0
science and engineering batch of,479,4.569,91.4
the teaching is of excellent,4,4.700,94.0
rate is very high at,4,4.700,94.0
lpa and the lowest is,45,4.651,93.0
candidates got placed the highest,4,4.700,94.0
of excellent quality with good,4,4.700,94.0
bombay in of candidates got,4,4.700,94.0
practical as well as theoretical,6,4.667,93.3
internet clean rooms and housekeeping,4,4.700,94.0
and housekeeping mess food is,4,4.700,94.0
tech experience at iit bombay,4,4.700,94.0
stress the course is practically,4,4.700,94.0
topics like ai ml and,4,4.700,94.0
x wi fi world class,4,4.700,94.0
are highly qualified experienced and,6,4.717,94.3
top companies that come for,6,4.600,92.0
with good practical as well,4,4.700,94.0
with excellent academic guidance from,4,4.700,94.0
smart classrooms and access to,5,4.680,93.6
ml and systems semester exams,4,4.700,94.0
in cse from iit bombay,4,4.700,94.0
experience at iit bombay placements,6,4.600,92.0
as well as theoretical stress,4,4.700,94.0
world class labs smart classrooms,4,4.700,94.0
a world class library hostels,4,4.700,94.0
and engineering batch of placements,479,4.569,91.4
teachers are highly qualified experienced,6,4.717,94.3
is lpa average is lpa,6,4.600,92.0
microsoft amazon and nvidia approximately,4,4.700,94.0
facilities faculty teachers are highly,8,4.625,92.5
sports grounds gym and recreational,4,4.700,94.0
requiring in depth knowledge the,4,4.700,94.0
people found this helpful f,2,4.800,96.0
a focus on core and,4,4.700,94.0
that come for recruitment are,4,4.700,94.0
for money m tech experience,4,4.700,94.0
and emerging topics like ai,4,4.700,94.0
as theoretical stress the course,4,4.700,94.0
