ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
new residential buildings are,2,4.300,86.0
be much better due,2,4.300,86.0
if people take integrated,2,4.300,86.0
are coming up the,2,4.300,86.0
opportunities from all the,2,4.300,86.0
paper so it may,2,4.300,86.0
to work with top,4,3.712,74.2
for the interviews i,2,4.300,86.0
s shlok nemani integrated,2,4.300,86.0
placed the highest package,120,4.512,90.2
year to spend on,2,4.300,86.0
may feel like the,2,4.300,86.0
based on my jee,3,4.133,82.7
internships and any student,2,4.300,86.0
a library is at,2,4.300,86.0
top role offered was,17,4.424,88.5
feel like teaching is,2,4.300,86.0
their subjects they are,7,4.429,88.6
pattern but after rd,2,4.300,86.0
year course they do,2,4.300,86.0
and then you go,2,4.300,86.0
and paper so it,2,4.300,86.0
integrated year course they,2,4.300,86.0
course they do get,2,4.300,86.0
strength as well as,2,4.300,86.0
dearth of opportunities for,2,4.300,86.0
in enough work other,2,4.300,86.0
at par with what,2,4.300,86.0
where all kinds of,3,4.400,88.0
are some issues in,2,4.300,86.0
life value for money,2067,4.543,90.9
from all the domains,4,4.300,86.0
on the professor mostly,3,3.467,69.3
processing batch of placements,22,4.445,88.9
have chosen this course,72,4.621,92.4
academic infrastructure including classrooms,2,4.300,86.0
regard and students should,2,4.300,86.0
thrown open to the,2,4.300,86.0
are really good in,14,4.732,94.6
is in the range,5,4.440,88.8
get an extra year,2,4.300,86.0
development cse consulting and,2,4.300,86.0
i feel ee is,2,4.300,86.0
shlok nemani integrated b,2,4.300,86.0
those things you get,2,4.300,86.0
great campus life and,6,4.333,86.7
branch with opportunities from,2,4.300,86.0
with top professors in,2,4.300,86.0
wi fi and ac,5,4.440,88.8
bit of a sweet,2,4.300,86.0
mentally prepared for that,2,4.300,86.0
more project based course,2,4.300,86.0
then you go through,2,4.300,86.0
all the top recruiting,6,4.500,90.0
coming up the existing,2,4.300,86.0
in many regards infrastructure,2,4.300,86.0
student should least worry,2,4.300,86.0
oriented and curriculum becomes,2,4.300,86.0
the ee branch with,2,4.300,86.0
the lectures and then,2,4.300,86.0
go through the schools,2,4.300,86.0
buildings are coming up,2,4.300,86.0
is at par with,12,4.583,91.7
with wi fi and,25,4.520,90.4
rd year you get,2,4.300,86.0
prepared for that academic,2,4.300,86.0
my department got placed,3,4.667,93.3
well as if people,2,4.300,86.0
should least worry about,2,4.300,86.0
highly qualified in their,12,4.233,84.7
food and other facilities,3,4.467,89.3
core development cse consulting,2,4.300,86.0
based course is enough,2,4.300,86.0
jee advanced rank i,3,4.000,80.0
a sweet spot compared,2,4.300,86.0
schools since it s,2,4.300,86.0
infrastructure faculty crowd amp,2066,4.543,90.9
placements infrastructure faculty crowd,2066,4.543,90.9
depends on the professor,35,4.286,85.7
reviewed on oct read,251,4.517,90.3
department will be much,2,4.300,86.0
good time to time,5,4.440,88.8
signal processing batch of,22,4.445,88.9
if they put in,2,4.300,86.0
research oriented and curriculum,2,4.300,86.0
with opportunities from all,2,4.300,86.0
residential buildings are coming,2,4.300,86.0
be more research oriented,4,4.150,83.0
faculty members are quite,5,4.280,85.6
being thrown open to,2,4.300,86.0
is a bit old,14,4.343,86.9
in electrical engineering m,34,4.494,89.9
finance being thrown open,2,4.300,86.0
spend on the campus,2,4.300,86.0
college has a central,5,4.120,82.4
industry ready if they,4,4.300,86.0
in their subjects they,7,4.229,84.6
all the domains including,2,4.300,86.0
of placements infrastructure faculty,1909,4.546,90.9
that academic infrastructure including,2,4.300,86.0
it may feel like,2,4.300,86.0
worry about those things,2,4.300,86.0
to percent other i,2,4.250,85.0
to higher batch strength,2,4.300,86.0
same way as we,2,4.300,86.0
we go through the,2,4.300,86.0
teaching is done in,2,4.300,86.0
other i have chosen,80,4.586,91.7
get many opportunities to,4,4.550,91.0
cse consulting and finance,2,4.300,86.0
a bit old so,4,4.050,81.0
i have chosen this,78,4.578,91.6
for that academic infrastructure,2,4.300,86.0
crowd amp campus life,2066,4.543,90.9
is done in the,4,3.900,78.0
campus if they like,2,4.300,86.0
labs and a library,8,4.600,92.0
through the exams pen,2,4.300,86.0
work other ee as,2,4.300,86.0
the campus if they,2,4.300,86.0
package offered is lpa,256,4.570,91.4
the top recruiting mncs,2,4.300,86.0
par with what students,2,4.300,86.0
much better due to,2,4.300,86.0
students to be industry,4,4.400,88.0
and internships and any,2,4.300,86.0
qualified in their subjects,3,4.600,92.0
the college has a,51,4.549,91.0
course is enough for,2,4.300,86.0
feel ee is at,2,4.300,86.0
be mentally prepared for,2,4.300,86.0
library is at par,2,4.300,86.0
top recruiting mncs here,2,4.300,86.0
department got placed the,3,4.267,85.3
while new residential buildings,2,4.300,86.0
me to take this,3,4.600,92.0
in communication and signal,22,4.445,88.9
many regards infrastructure while,2,4.300,86.0
people take integrated year,2,4.300,86.0
feel like the same,2,4.300,86.0
mostly the lectures and,2,4.300,86.0
old so there are,2,4.300,86.0
with what students should,2,4.300,86.0
get placements and internships,5,4.640,92.8
like teaching is done,2,4.300,86.0
m tech in communication,22,4.445,88.9
way as we go,2,4.300,86.0
to be more research,4,4.150,83.0
varied domains placements placements,2,4.300,86.0
opportunities for sure of,2,4.300,86.0
get to work with,4,4.400,88.0
as we go through,2,4.300,86.0
in that regard and,2,4.300,86.0
that regard and students,2,4.300,86.0
lpa and the average,205,4.486,89.7
opportunities to be more,2,4.300,86.0
at a bit of,2,4.300,86.0
and any student should,2,4.300,86.0
the highest package offered,174,4.473,89.5
offered is lpa and,92,4.554,91.1
as if people take,2,4.300,86.0
some issues in that,2,4.300,86.0
more research oriented and,2,4.300,86.0
of books are available,14,4.543,90.9
college faculty it may,2,4.300,86.0
infrastructure while new residential,2,4.300,86.0
like mood indigo and,9,4.733,94.7
placements are really good,16,4.612,92.2
you get many opportunities,4,4.500,90.0
from a good college,2,4.300,86.0
amp campus life value,2066,4.543,90.9
for sure of students,2,4.300,86.0
in the same way,2,4.300,86.0
and students should be,2,4.300,86.0
sweet spot compared to,2,4.300,86.0
about those things you,2,4.300,86.0
the average ctc is,3,4.167,83.3
faculty it may feel,2,4.300,86.0
higher batch strength as,2,4.300,86.0
faculty crowd amp campus,2066,4.543,90.9
no dearth of opportunities,2,4.300,86.0
domains including core development,2,4.300,86.0
lectures and then you,2,4.300,86.0
students should be mentally,2,4.300,86.0
campus life value for,2067,4.543,90.9
mncs here for the,2,4.300,86.0
a central library where,5,4.520,90.4
all kinds of books,11,4.364,87.3
but after rd year,4,4.350,87.0
curriculum becomes more project,2,4.300,86.0
integrated b tech in,39,4.472,89.4
infrastructure is a bit,2,4.300,86.0
advanced rank i got,3,4.000,80.0
money great campus life,4,4.250,85.0
placement at my college,5,4.160,83.2
value for money great,83,4.538,90.8
is good time to,3,4.133,82.7
and the average ctc,5,4.450,89.0
what students should expect,2,4.300,86.0
has a central library,13,4.569,91.4
totally depends on the,3,3.467,69.3
they do get an,2,4.300,86.0
ee is at a,2,4.300,86.0
expect from a good,2,4.300,86.0
ee branch with opportunities,2,4.300,86.0
of a sweet spot,2,4.300,86.0
many events and fest,3,4.533,90.7
a good college faculty,2,4.300,86.0
and a library is,2,4.300,86.0
it is in the,8,4.075,81.5
classrooms labs and a,2,4.300,86.0
any student should least,2,4.300,86.0
got placed the highest,104,4.502,90.0
the existing hostel infrastructure,2,4.300,86.0
here for the interviews,2,4.300,86.0
books are available the,3,4.133,82.7
to cse in many,2,4.300,86.0
existing hostel infrastructure is,2,4.300,86.0
a department will be,2,4.300,86.0
you go through the,2,4.300,86.0
the same pattern but,2,4.300,86.0
may feel like teaching,2,4.300,86.0
you get all the,10,4.760,95.2
cse in many regards,2,4.300,86.0
is enough for students,2,4.300,86.0
be industry ready if,2,4.300,86.0
and signal processing batch,22,4.445,88.9
is fully equipped with,9,4.489,89.8
to take this course,3,4.600,92.0
to spend on the,2,4.300,86.0
other ee as a,2,4.300,86.0
the exams pen and,2,4.300,86.0
including classrooms labs and,6,4.600,92.0
batch of placements infrastructure,1909,4.546,90.9
up the existing hostel,2,4.300,86.0
hostel infrastructure is a,2,4.300,86.0
and other facilities like,3,4.533,90.7
including core development cse,2,4.300,86.0
oct read more s,51,4.339,86.8
of opportunities for sure,2,4.300,86.0
highest package offered is,39,4.569,91.4
placements and internships and,6,4.067,81.3
ee as a department,2,4.300,86.0
so there are some,2,4.300,86.0
so it may feel,2,4.300,86.0
to be industry ready,12,4.450,89.0
good in the ee,2,4.300,86.0
domains placements placements are,2,4.300,86.0
nemani integrated b tech,2,4.300,86.0
are available the food,5,4.760,95.2
go through the exams,2,4.300,86.0
fully equipped with wi,5,4.440,88.8
get all the top,2,4.300,86.0
students should expect from,2,4.300,86.0
an extra year to,2,4.300,86.0
will be much better,2,4.300,86.0
year you get many,2,4.300,86.0
through the schools since,2,4.300,86.0
recruiting mncs here for,2,4.300,86.0
the same way as,2,4.300,86.0
since it s mostly,2,4.300,86.0
the domains including core,2,4.300,86.0
engineering m tech in,60,4.553,91.1
to the students so,2,4.300,86.0
there are some issues,2,4.300,86.0
s mostly the lectures,2,4.300,86.0
in varied domains placements,2,4.300,86.0
the schools since it,2,4.300,86.0
you get to work,4,4.450,89.0
for money great campus,6,4.167,83.3
consulting and finance being,2,4.300,86.0
should expect from a,2,4.300,86.0
life and you get,2,4.300,86.0
compared to cse in,2,4.300,86.0
spot compared to cse,2,4.300,86.0
least worry about those,2,4.300,86.0
they put in enough,2,4.300,86.0
and you get to,4,4.150,83.0
project based course is,2,4.300,86.0
and curriculum becomes more,2,4.300,86.0
in the ee branch,2,4.300,86.0
top professors in varied,2,4.300,86.0
enough work other ee,2,4.300,86.0
take integrated year course,2,4.300,86.0
campus life and you,4,4.300,86.0
same pattern but after,2,4.300,86.0
placements placements are really,10,4.700,94.0
read more s shlok,2,4.300,86.0
infrastructure including classrooms labs,2,4.300,86.0
enough for students to,4,4.450,89.0
and finance being thrown,2,4.300,86.0
done in the same,2,4.300,86.0
better due to higher,2,4.300,86.0
many opportunities to be,2,4.300,86.0
course based on my,3,4.133,82.7
communication and signal processing,22,4.445,88.9
the interviews i feel,2,4.300,86.0
pen and paper so,2,4.300,86.0
open to the students,2,4.300,86.0
things you get all,2,4.300,86.0
equipped with wi fi,47,4.549,91.0
is provided in the,13,4.485,89.7
becomes more project based,2,4.300,86.0
role offered was a,3,4.333,86.7
extra year to spend,2,4.300,86.0
more s shlok nemani,2,4.300,86.0
college faculty faculty members,13,4.554,91.1
on the campus if,2,4.300,86.0
b tech in electrical,336,4.576,91.5
so no dearth of,2,4.300,86.0
electrical engineering m tech,34,4.494,89.9
ready if they put,2,4.300,86.0
it s mostly the,2,4.300,86.0
like the same pattern,2,4.300,86.0
due to higher batch,2,4.300,86.0
put in enough work,2,4.300,86.0
interviews i feel ee,2,4.300,86.0
professors in varied domains,2,4.300,86.0
good college faculty it,2,4.300,86.0
students so no dearth,2,4.300,86.0
batch strength as well,2,4.300,86.0
for students to be,2,4.300,86.0
should be mentally prepared,2,4.300,86.0
from my department got,3,4.667,93.3
difficulty level is moderate,3,4.400,88.0
my jee advanced rank,13,4.308,86.2
sure of students get,2,4.300,86.0
tech in communication and,22,4.445,88.9
is at a bit,2,4.300,86.0
after rd year you,4,4.650,93.0
of students get placements,14,4.143,82.9
of students from my,5,4.640,92.8
issues in that regard,2,4.300,86.0
a bit of a,8,4.225,84.5
mood indigo and techfest,23,4.652,93.0
students get placements and,4,4.550,91.0
value for money four,3,4.667,93.3
civil engineering is the,3,4.267,85.3
provided in the mess,5,4.680,93.6
do get an extra,2,4.300,86.0
this course based on,5,4.280,85.6
bit old so there,2,4.300,86.0
faculty faculty members are,121,4.517,90.3
on oct read more,251,4.517,90.3
work with top professors,2,4.300,86.0
tech in electrical engineering,359,4.586,91.7
as a department will,2,4.300,86.0
really good in the,2,4.300,86.0
regards infrastructure while new,2,4.300,86.0
the students so no,2,4.300,86.0
exams pen and paper,2,4.300,86.0
as well as if,2,4.300,86.0
is lpa and the,183,4.524,90.5
in the range of,10,4.405,88.1
ashraf m tech in,4,4.700,94.0
are easily accessible the,4,4.700,94.0
and nvidia approximately of,4,4.700,94.0
did my m tech,6,4.733,94.7
knowledge the pass rate,4,4.700,94.0
emerging topics like ai,4,4.700,94.0
experienced and easily accessible,4,4.700,94.0
faculty teachers are highly,80,4.518,90.4
are moderately challenging requiring,4,4.700,94.0
nvidia approximately of students,4,4.700,94.0
good with two canteen,4,4.700,94.0
amp d overall placement,4,4.700,94.0
depth knowledge the pass,4,4.700,94.0
in cse from iit,4,4.700,94.0
students got placed for,8,4.675,93.5
and engineering batch of,479,4.569,91.4
are google microsoft amazon,20,4.650,93.0
quality with good practical,4,4.700,94.0
science and engineering batch,479,4.569,91.4
infrastructure cse department boasted,4,4.700,94.0
good practical as well,4,4.700,94.0
approximately of students got,14,4.600,92.0
as well as theoretical,8,4.656,93.1
academic guidance from teachers,4,4.700,94.0
with x wi fi,4,4.700,94.0
cse department boasted world,4,4.700,94.0
got placed for internships,4,4.700,94.0
hostels are hygienic with,4,4.700,94.0
iit bombay placements faculty,4,4.700,94.0
in depth knowledge the,4,4.700,94.0
