ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
students should be,6,4.400,88.0
on campus like,3,4.467,89.3
all kinds of,79,4.549,91.0
totally depends on,5,3.880,77.6
internships and any,2,4.300,86.0
many regards infrastructure,2,4.300,86.0
more research oriented,10,4.360,87.2
festivals are celebrated,3,4.400,88.0
advanced rank i,3,4.000,80.0
other i have,105,4.563,91.3
with opportunities from,2,4.300,86.0
becomes more project,2,4.300,86.0
on the professor,43,4.316,86.3
should expect from,2,4.300,86.0
opportunities for sure,2,4.300,86.0
is at par,16,4.625,92.5
an extra year,4,4.450,89.0
the lectures and,12,4.417,88.3
issues in that,2,4.300,86.0
from a good,2,4.300,86.0
available the food,7,4.686,93.7
ee branch with,2,4.300,86.0
dinner is provided,3,4.600,92.0
placed the highest,252,4.505,90.1
have chosen this,78,4.578,91.6
pattern but after,2,4.300,86.0
compared to cse,2,4.300,86.0
all the top,13,4.550,91.0
tech in communication,22,4.445,88.9
rd year you,6,4.067,81.3
infrastructure while new,2,4.300,86.0
it is in,20,4.410,88.2
great campus life,12,4.450,89.0
top professors in,2,4.300,86.0
cse in many,2,4.300,86.0
department got placed,9,4.556,91.1
around to lpa,10,4.400,88.0
and the average,376,4.513,90.3
go through the,2,4.300,86.0
academic infrastructure including,2,4.300,86.0
college of students,3,4.267,85.3
and other facilities,36,4.511,90.2
the ee branch,2,4.300,86.0
up the existing,2,4.300,86.0
a bit old,28,4.457,89.1
feel like teaching,2,4.300,86.0
faculty it may,2,4.300,86.0
events and fest,17,4.588,91.8
take this course,9,4.467,89.3
s shlok nemani,2,4.300,86.0
is at a,6,4.633,92.7
for money great,83,4.538,90.8
year you get,4,4.588,91.8
are some issues,2,4.300,86.0
qualified in their,31,4.511,90.2
top recruiting mncs,2,4.300,86.0
like teaching is,2,4.300,86.0
all the domains,14,4.632,92.6
and any student,4,4.300,86.0
so no dearth,2,4.300,86.0
some issues in,2,4.300,86.0
if they put,2,4.300,86.0
is fully equipped,11,4.564,91.3
regards infrastructure while,2,4.300,86.0
happening on campus,5,4.160,83.2
where all kinds,3,4.400,88.0
of students get,204,4.448,89.0
year to spend,2,4.300,86.0
cse consulting and,2,4.300,86.0
a sweet spot,2,4.300,86.0
equipped with wi,47,4.549,91.0
year course they,2,4.300,86.0
is good time,3,4.133,82.7
as if people,2,4.300,86.0
in civil engineering,429,4.578,91.6
if they like,2,4.300,86.0
finance being thrown,2,4.300,86.0
it may feel,2,4.300,86.0
are really good,84,4.623,92.5
the domains including,2,4.300,86.0
strength as well,2,4.300,86.0
they do get,2,4.300,86.0
exams pen and,2,4.300,86.0
the professor mostly,3,3.467,69.3
subjects they are,9,4.556,91.1
get many opportunities,6,4.600,92.0
spot compared to,2,4.300,86.0
to spend on,2,4.300,86.0
time to time,55,4.594,91.9
faculty crowd amp,2066,4.543,90.9
on the campus,222,4.640,92.8
so it may,6,4.300,86.0
through the exams,2,4.300,86.0
my department got,5,4.680,93.6
provided in the,46,4.538,90.8
classrooms labs and,15,4.547,90.9
faculty members are,471,4.567,91.3
the top recruiting,248,4.506,90.1
paper so it,2,4.300,86.0
to be industry,14,4.529,90.6
are coming up,2,4.300,86.0
processing batch of,22,4.445,88.9
that regard and,2,4.300,86.0
feel ee is,2,4.300,86.0
old so there,2,4.300,86.0
m tech in,444,4.578,91.6
including classrooms labs,6,4.600,92.0
based on my,11,4.127,82.5
members are quite,5,4.280,85.6
oct read more,251,4.517,90.3
everything is good,38,4.626,92.5
kinds of books,11,4.364,87.3
residential buildings are,2,4.300,86.0
students get placements,27,4.378,87.6
you get all,14,4.786,95.7
communication and signal,22,4.445,88.9
engineering is the,13,4.615,92.3
regard and students,2,4.300,86.0
is enough for,8,4.481,89.6
department will be,4,4.450,89.0
major festivals are,3,4.667,93.3
that academic infrastructure,2,4.300,86.0
ready if they,4,4.300,86.0
oriented and curriculum,2,4.300,86.0
labs and a,20,4.500,90.0
since it s,4,4.400,88.0
course based on,5,4.280,85.6
least worry about,2,4.300,86.0
we go through,2,4.300,86.0
in communication and,22,4.445,88.9
integrated b tech,174,4.520,90.4
with top professors,2,4.300,86.0
their subjects they,13,4.446,88.9
feel like the,2,4.300,86.0
as a department,2,4.300,86.0
placement at my,5,4.160,83.2
mood indigo and,40,4.630,92.6
value for money,2074,4.543,90.9
got placed the,154,4.515,90.3
batch of placements,1916,4.546,90.9
higher batch strength,2,4.300,86.0
infrastructure including classrooms,2,4.300,86.0
my jee advanced,13,4.308,86.2
at par with,27,4.535,90.7
lpa and the,526,4.516,90.3
work other ee,2,4.300,86.0
a library is,8,4.600,92.0
expect from a,6,4.600,92.0
amp campus life,2066,4.543,90.9
enough for students,4,4.450,89.0
top role offered,47,4.515,90.3
a central library,74,4.618,92.4
prepared for that,4,4.100,82.0
there are some,61,4.438,88.8
on oct read,251,4.517,90.3
role offered was,19,4.442,88.8
facilities like gym,7,4.371,87.4
jee advanced rank,19,4.316,86.3
engineering from iit,7,4.686,93.7
to be more,11,4.327,86.5
the same pattern,2,4.300,86.0
and then you,8,4.250,85.0
the exams pen,2,4.300,86.0
for students to,90,4.611,92.2
lectures and then,2,4.300,86.0
life and you,7,4.371,87.4
are helpful too,3,4.533,90.7
really good in,26,4.794,95.9
varied domains placements,2,4.300,86.0
the range of,14,4.418,88.4
based course is,2,4.300,86.0
extra year to,2,4.300,86.0
the existing hostel,2,4.300,86.0
batch strength as,2,4.300,86.0
the college has,165,4.517,90.3
mentally prepared for,2,4.300,86.0
a bit of,18,4.300,86.0
rank i got,9,4.289,85.8
shlok nemani integrated,2,4.300,86.0
techfest reviewed on,3,4.000,80.0
bit old so,4,4.050,81.0
dearth of opportunities,2,4.300,86.0
moderate to slightly,5,4.640,92.8
for the interviews,6,4.667,93.3
with what students,2,4.300,86.0
then you go,2,4.300,86.0
sure of students,2,4.300,86.0
offered was a,3,4.333,86.7
like mood indigo,18,4.706,94.1
recruiting mncs here,2,4.300,86.0
civil engineering is,16,4.513,90.3
is lpa and,215,4.527,90.5
here for the,6,4.500,90.0
through the schools,2,4.300,86.0
many events and,17,4.576,91.5
difficulty level is,9,4.506,90.1
in the range,10,4.405,88.1
what students should,2,4.300,86.0
many opportunities to,12,4.633,92.7
in the same,24,4.781,95.6
take integrated year,2,4.300,86.0
in the mess,243,4.585,91.7
hostel infrastructure is,24,4.633,92.7
a good college,60,4.493,89.9
like you can,9,3.956,79.1
students from my,19,4.411,88.2
branch with opportunities,2,4.300,86.0
and signal processing,22,4.445,88.9
sweet spot compared,2,4.300,86.0
placements and internships,40,4.440,88.8
good time to,5,4.440,88.8
to higher batch,2,4.300,86.0
i got a,16,4.425,88.5
will be much,2,4.300,86.0
domains including core,2,4.300,86.0
is provided in,19,4.532,90.6
put in enough,2,4.300,86.0
level is moderate,3,4.400,88.0
integrated year course,2,4.300,86.0
should be mentally,2,4.300,86.0
be more research,4,4.150,83.0
good in the,37,4.499,90.0
about those things,2,4.300,86.0
par with what,2,4.300,86.0
you get to,46,4.534,90.7
the students so,3,4.267,85.3
fully equipped with,23,4.478,89.6
are available the,44,4.565,91.3
can approach them,9,4.333,86.7
done in the,6,4.000,80.0
course they do,2,4.300,86.0
the food and,9,4.394,87.9
get all the,22,4.823,96.5
books are available,34,4.594,91.9
a data scientist,7,4.429,88.6
i feel ee,2,4.300,86.0
mostly the lectures,2,4.300,86.0
be much better,14,4.329,86.6
highest package offered,181,4.478,89.6
project based course,2,4.300,86.0
you get many,4,4.500,90.0
no dearth of,2,4.300,86.0
and finance being,2,4.300,86.0
schools since it,2,4.300,86.0
like the same,2,4.300,86.0
in many regards,2,4.300,86.0
research oriented and,18,4.600,92.0
and curriculum becomes,2,4.300,86.0
get placements and,5,4.640,92.8
of placements infrastructure,1910,4.546,90.9
well as if,2,4.300,86.0
be mentally prepared,2,4.300,86.0
things you get,2,4.300,86.0
to percent other,2,4.250,85.0
b tech in,1469,4.549,91.0
in that regard,6,4.333,86.7
buildings are coming,2,4.300,86.0
college faculty it,2,4.300,86.0
good college faculty,2,4.300,86.0
student should least,2,4.300,86.0
new residential buildings,2,4.300,86.0
to cse in,2,4.300,86.0
consulting and finance,13,4.558,91.2
of books are,16,4.525,90.5
for money four,3,4.667,93.3
for higher studies,217,4.570,91.4
professors in varied,2,4.300,86.0
and students should,2,4.300,86.0
development cse consulting,2,4.300,86.0
they put in,3,4.533,90.7
wi fi and,156,4.495,89.9
package offered is,390,4.591,91.8
infrastructure faculty crowd,2066,4.543,90.9
get to work,6,4.467,89.3
life value for,2067,4.543,90.9
the same way,4,4.400,88.0
so there are,14,4.486,89.7
money great campus,6,4.167,83.3
and you get,27,4.570,91.4
placements placements are,117,4.524,90.5
interviews i feel,2,4.300,86.0
opportunities from all,2,4.300,86.0
from iit bombay,19,4.716,94.3
college faculty faculty,15,4.507,90.1
being thrown open,2,4.300,86.0
and internships and,8,4.125,82.5
course is enough,2,4.300,86.0
at my college,21,4.286,85.7
signal processing batch,22,4.445,88.9
in college faculty,9,4.228,84.6
in varied domains,2,4.300,86.0
the schools since,2,4.300,86.0
from my department,11,4.509,90.2
any student should,2,4.300,86.0
better due to,2,4.300,86.0
faculty faculty members,237,4.548,91.0
me to take,7,4.657,93.1
placements are really,20,4.670,93.4
including core development,2,4.300,86.0
campus if they,2,4.300,86.0
students to be,8,4.475,89.5
coming up the,2,4.300,86.0
engineering m tech,62,4.535,90.7
worry about those,2,4.300,86.0
more project based,2,4.300,86.0
college has a,103,4.556,91.1
fi and ac,5,4.440,88.8
may feel like,2,4.300,86.0
percent other i,8,4.588,91.8
crowd amp campus,2066,4.543,90.9
chosen this course,72,4.621,92.4
campus life and,29,4.566,91.3
do get an,4,4.150,83.0
a department will,2,4.300,86.0
i have chosen,96,4.593,91.9
as we go,2,4.300,86.0
pen and paper,2,4.300,86.0
be industry ready,12,4.450,89.0
much better due,2,4.300,86.0
in electrical engineering,381,4.574,91.5
opportunities to be,8,4.619,92.4
core development cse,2,4.300,86.0
students so no,2,4.300,86.0
the average ctc,19,4.571,91.4
offered is lpa,270,4.570,91.4
same way as,2,4.300,86.0
reviewed on oct,251,4.517,90.3
teaching is done,11,4.509,90.2
of students from,42,4.635,92.7
on my jee,5,3.960,79.2
