ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
while,332,4.524,90.5
like,1525,4.549,91.0
coming,149,4.416,88.3
mncs,78,4.485,89.7
data,451,4.532,90.6
processing,32,4.494,89.9
subjects,289,4.534,90.7
amp,2074,4.542,90.8
room,483,4.538,90.8
should,292,4.484,89.7
we,1239,4.550,91.0
fest,560,4.577,91.5
average,1530,4.539,90.8
get,1447,4.541,90.8
ctc,92,4.566,91.3
advanced,224,4.503,90.1
extra,238,4.544,90.9
shlok,2,4.300,86.0
mentally,4,4.600,92.0
department,913,4.539,90.8
bombay,509,4.576,91.5
life,2069,4.543,90.9
up,517,4.555,91.1
electrical,482,4.558,91.2
percent,291,4.541,90.8
buildings,203,4.560,91.2
classrooms,1276,4.540,90.8
i,1572,4.543,90.9
chosen,119,4.576,91.5
passing,191,4.523,90.5
course,1774,4.545,90.9
finance,373,4.584,91.7
there,1695,4.552,91.0
package,1656,4.547,90.9
tv,77,4.581,91.6
something,138,4.523,90.5
time,664,4.511,90.2
they,1669,4.542,90.8
discipline,29,4.341,86.8
placements,2074,4.543,90.9
icici,58,4.580,91.6
really,613,4.558,91.2
student,1120,4.560,91.2
oct,253,4.516,90.3
least,151,4.568,91.4
old,395,4.490,89.8
well,1516,4.542,90.8
available,1322,4.543,90.9
from,1645,4.561,91.2
facilities,1725,4.550,91.0
range,177,4.539,90.8
are,2053,4.543,90.9
was,1329,4.534,90.7
as,1549,4.533,90.7
wi,1491,4.551,91.0
studies,576,4.508,90.2
degree,238,4.542,90.8
hostel,1496,4.539,90.8
an,1223,4.552,91.0
regarding,133,4.538,90.8
and,2100,4.544,90.9
jee,250,4.490,89.8
kinds,104,4.517,90.3
exams,1046,4.518,90.4
totally,77,4.581,91.6
fascinates,1,4.000,80.0
food,1541,4.540,90.8
major,199,4.621,92.4
rank,189,4.452,89.0
opportunities,629,4.571,91.4
recruiting,710,4.528,90.6
civil,482,4.555,91.1
new,514,4.531,90.6
qualified,1174,4.534,90.7
highly,808,4.577,91.5
existing,8,4.675,93.5
higher,435,4.558,91.2
fully,339,4.564,91.3
may,438,4.506,90.1
you,1296,4.545,90.9
communication,89,4.566,91.3
placed,1561,4.548,91.0
this,1847,4.542,90.8
happening,66,4.448,89.0
regard,10,4.600,92.0
scientist,112,4.513,90.3
year,1249,4.548,91.0
members,912,4.568,91.4
semester,984,4.518,90.4
development,303,4.629,92.6
their,1348,4.555,91.1
lectures,271,4.468,89.4
enough,342,4.553,91.1
worry,47,4.629,92.6
that,1479,4.545,90.9
labs,1225,4.567,91.3
signal,34,4.488,89.8
put,89,4.490,89.8
residential,40,4.565,91.3
project,162,4.534,90.7
professor,283,4.508,90.2
mood,168,4.637,92.7
will,843,4.550,91.0
all,1770,4.558,91.2
fi,1488,4.551,91.0
spend,37,4.627,92.5
moderate,134,4.546,90.9
work,578,4.553,91.1
or,891,4.531,90.6
infrastructure,2067,4.543,90.9
approach,95,4.625,92.5
read,2103,4.545,90.9
branch,547,4.546,90.9
students,2028,4.541,90.8
more,2103,4.545,90.9
on,2103,4.545,90.9
too,519,4.563,91.3
academic,466,4.566,91.3
curriculum,1471,4.547,90.9
books,562,4.546,90.9
faculty,2102,4.545,90.9
be,1180,4.521,90.4
go,501,4.555,91.1
can,1341,4.534,90.7
do,652,4.556,91.1
for,2090,4.544,90.9
related,307,4.617,92.3
many,1376,4.560,91.2
states,20,4.237,84.7
ac,219,4.528,90.6
those,207,4.500,90.0
strength,73,4.560,91.2
sweet,6,4.367,87.3
guidance,63,4.539,90.8
heavenly,3,4.400,88.0
fundamental,12,4.467,89.3
with,1879,4.544,90.9
placement,1306,4.540,90.8
oriented,127,4.582,91.6
central,249,4.622,92.4
got,1281,4.562,91.2
if,921,4.533,90.7
domains,120,4.599,92.0
then,367,4.498,90.0
taking,80,4.463,89.3
it,1943,4.548,91.0
here,1114,4.558,91.2
industry,1087,4.551,91.0
percentage,637,4.505,90.1
ready,692,4.530,90.6
a,2058,4.545,90.9
difficulty,166,4.554,91.1
batch,2103,4.545,90.9
mostly,341,4.542,90.8
becomes,28,4.543,90.9
country,439,4.612,92.2
highest,1479,4.540,90.8
provided,675,4.494,89.9
iit,1725,4.540,90.8
role,174,4.533,90.7
special,79,4.613,92.3
slightly,38,4.468,89.4
through,387,4.549,91.0
core,860,4.578,91.6
keep,107,4.472,89.4
varied,47,4.607,92.1
dearth,2,4.300,86.0
hard,401,4.537,90.7
reviewed,2103,4.545,90.9
at,1382,4.532,90.6
them,895,4.517,90.3
any,802,4.566,91.3
my,1125,4.509,90.2
where,397,4.573,91.5
spot,24,4.633,92.7
paper,63,4.497,89.9
expect,98,4.544,90.9
depends,256,4.518,90.4
much,618,4.524,90.5
services,174,4.529,90.6
everything,476,4.594,91.9
the,2097,4.544,90.9
festivals,138,4.593,91.9
helpful,1635,4.542,90.8
professors,991,4.547,90.9
have,1701,4.548,91.0
teaching,1351,4.545,90.9
issues,125,4.584,91.7
b,1786,4.547,90.9
same,260,4.559,91.2
great,784,4.575,91.5
crowd,2066,4.543,90.9
schools,63,4.591,91.8
compared,369,4.535,90.7
offered,1474,4.545,90.9
but,1532,4.524,90.5
has,1514,4.554,91.1
money,2074,4.543,90.9
events,710,4.553,91.1
outstanding,51,4.602,92.0
celebrated,17,4.529,90.6
par,80,4.541,90.8
lpa,1331,4.541,90.8
rd,148,4.559,91.2
about,1156,4.527,90.5
since,193,4.483,89.7
library,1383,4.546,90.9
take,477,4.538,90.8
tech,1783,4.551,91.0
interviews,75,4.572,91.4
during,461,4.501,90.0
companies,1681,4.558,91.2
referral,3,4.667,93.3
bank,195,4.587,91.7
nemani,2,4.300,86.0
things,416,4.537,90.7
pen,7,4.629,92.6
research,822,4.566,91.3
in,2099,4.545,90.9
me,311,4.525,90.5
value,2074,4.543,90.9
culture,231,4.597,91.9
good,1982,4.545,90.9
internships,1115,4.546,90.9
prepared,70,4.368,87.4
some,1227,4.530,90.6
way,343,4.585,91.7
due,206,4.503,90.1
people,935,4.560,91.2
of,2103,4.545,90.9
based,363,4.483,89.7
m,824,4.558,91.2
